Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$182.68,-0.95,-0.517%,2841176735360.00,United States,1980,47317433,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$596.10,-1.58,-0.264%,271404330000.00,United States,1986,2588293,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$185.43,-2.36,-1.257%,92021802952.00,United States,,2926027,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$235.39,0.11,0.047%,96817032635.00,United States,,1409327,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$238.47,-3.03,-1.255%,51012387553.00,United States,,1330398,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$153.37,-0.39,-0.254%,127460761894.00,United States,1972,6630647,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$160.17,1.43,0.901%,258754457371.00,United States,,104084985,Technology,Semiconductors
APP,Applovin Corporation Class A Common Stock,$41.18,0.46,1.13%,13828308735.00,United States,2021,2661415,Technology,EDP Services
ASML,ASML Holding N.V. New York Registry Shares,$712.27,5.77,0.817%,281054199773.00,Netherlands,1995,835089,Technology,Industrial Machinery/Components
AVGO,Broadcom Inc. Common Stock,$1103.67,-11.29,-1.013%,516672701788.00,United States,2009,1831405,Technology,Semiconductors
AZPN,Aspen Technology Inc. Common Stock,$198.11,-0.29,-0.146%,13195970404.00,United States,,187592,Technology,EDP Services
BIDU,Baidu Inc. ADS,$102.20,-2.30,-2.201%,35726378383.00,China,2005,4605545,Technology,Computer Software: Programming Data Processing
BSY,Bentley Systems Incorporated Class B Common Stock,$48.59,-0.07,-0.144%,14378858240.00,United States,2020,878057,Technology,Retail: Computer Software & Peripheral Equipment
CDNS,Cadence Design Systems Inc. Common Stock,$275.39,-2.17,-0.782%,74923154180.00,United States,,1883332,Technology,Computer Software: Prepackaged Software
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$157.86,1.76,1.127%,19063173600.00,Israel,1996,776632,Technology,Computer Software: Prepackaged Software
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$276.27,-10.02,-3.50%,66344806106.00,United States,2019,4419699,Technology,Computer Software: Prepackaged Software
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$75.70,-0.50,-0.656%,37956929732.00,United States,1998,5570116,Technology,EDP Services
DBX,Dropbox Inc. Class A Common Stock,$31.03,-0.30,-0.958%,10728882531.00,United States,2018,3385457,Technology,Computer Software: Prepackaged Software
DDOG,Datadog Inc. Class A Common Stock,$126.03,2.24,1.81%,41407619786.00,United States,2019,6172384,Technology,EDP Services
DOCU,DocuSign Inc. Common Stock,$61.65,-1.00,-1.596%,12572524565.00,United States,2018,3176541,Technology,Computer Software: Prepackaged Software
DOX,Amdocs Limited Ordinary Shares,$90.29,-0.08,-0.089%,10595334578.00,Guernsey,,463979,Technology,EDP Services
EA,Electronic Arts Inc. Common Stock,$136.62,-0.53,-0.386%,36746195989.00,United States,,1340142,Technology,Computer Software: Prepackaged Software
ENPH,Enphase Energy Inc. Common Stock,$105.55,-3.20,-2.943%,14412980849.00,United States,2012,4015862,Technology,Semiconductors
ERIC,Ericsson American Depositary Shares,$6.05,-0.05,-0.82%,20171617997.00,Sweden,,16362023,Technology,Radio And Television Broadcasting And Communications Equipment
FFIV,F5 Inc. Common Stock,$177.41,1.25,0.71%,10592656304.00,United States,1999,498514,Technology,EDP Services
FSLR,First Solar Inc. Common Stock,$147.26,-1.84,-1.234%,15733878659.00,United States,2006,1988595,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,$60.62,-1.38,-2.226%,46550680134.00,United States,2009,5407773,Technology,Computer peripheral equipment
GEHC,GE HealthCare Technologies Inc. Common Stock ,$72.75,-2.22,-2.961%,33118926359.00,United States,,3766982,Technology,Computer Software: Prepackaged Software
GEN,Gen Digital Inc. Common Stock,$22.82,-0.33,-1.425%,14621122461.00,United States,,3764125,Technology,Computer Software: Prepackaged Software
GFS,GlobalFoundries Inc. Ordinary Shares,$54.87,-0.74,-1.331%,30055591200.00,United States,2021,1620004,Technology,Semiconductors
GOOG,Alphabet Inc. Class C Capital Stock,$142.89,-1.19,-0.826%,1788411240000.00,United States,2004,17884548,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$141.47,-1.02,-0.716%,1770638520000.00,United States,2004,20968649,Technology,Computer Software: Programming Data Processing
INTC,Intel Corporation Common Stock,$46.06,-1.00,-2.125%,194188960000.00,United States,,33488015,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$599.84,-3.99,-0.661%,167916810240.00,United States,1993,1539978,Technology,Computer Software: Prepackaged Software
JKHY,Jack Henry & Associates Inc. Common Stock,$165.76,0.58,0.351%,12072002764.00,United States,1985,358436,Technology,Retail: Computer Software & Peripheral Equipment
KLAC,KLA Corporation Common Stock,$562.50,-4.31,-0.76%,76461927750.00,United States,1980,741065,Technology,Electronic Components
LOGI,Logitech International S.A. Ordinary Shares,$93.75,-0.29,-0.308%,14881660313.00,United States,1997,387043,Technology,Computer peripheral equipment
